Category;Subcategory;parameter name;HOUSEHOLDS;SERVICES;INDUSTRY;TRANSPORTATION;PUBLIC_LIGHTING;AGRICULTURE;MINING;FISHING_OTHERS;Units
Electricity;Electricity;ELECTRICITY;0.540217989;384.3212191;293.9715633;0;0;0;0;0;[GWh]
Lighting;Building lighting;LIGHTING_R_C;13.14170309;0;35.37386831;0;0;0;0;0;[GWh]
Lighting;Public lighting;LIGHTING_P;0;16.0777838;0;0;0;0;0;0;[GWh]
Heat;High temperature;HEAT_HIGH_T;0;0;4605.026332;0;0;0;0;0;[GWh]
Heat;Space heating;HEAT_LOW_T_SH;16.95022346;0;0;0;0;0;0;0;[GWh]
Heat;Hot water;HEAT_LOW_T_HW;693.140455;0;0;0;0;0;0;0;[GWh]
Heat;Cooking;COOKING;1704.585079;157.203593;0;0;0;0;0;0;[GWh]
Cold;Process cooling;PROCESS_COOLING;0;0;0;0;0;0;0;0;[GWh]
Cold;Space cooling;SPACE_COOLING;0;0;0;0;0;0;0;0;[GWh]
Cold;Food preservation;FOOD_PRESERVATION;105.423341;0;0;0;0;0;0;0;[GWh]
Mobility;Passenger;MOBILITY_PASSENGER;0;0;0;153117.3775;0;0;0;0;[Mpkm]
Mobility;Freight;MOBILITY_FREIGHT;0;0;0;2874.060103;0;0;0;0;[Mtkm]
Mobility;Long-haul passenger flights;AVIATION_LONG_HAUL;0;0;0;0;0;0;0;0;[Mpkm]
Mobility;International shipping;SHIPPING;0;0;0;43.87441337;0;0;0;0;[Mtkm]
Mechanical;Mechanical energy commercial;MECHANICAL_ENERGY_COMM;0;21.57536042;0;0;0;0;0;0;[GWh]
Mechanical;Mechanical energy industrial;MECHANICAL_ENERGY_IND;0;0;0;0;0;0;0;0;[GWh]
Mechanical;Mechanical energy agriculture mobility;MECHANICAL_ENERGY_MOV_AGR;0;0;0;0;0;0;0;0;[GWh]
Mechanical;Mechanical energy agriculture fixed;MECHANICAL_ENERGY_FIX_AGR;0;0;0;0;0;224.5412297;0;0;[GWh]
Mechanical;Mechanical energy mining;MECHANICAL_ENERGY_MIN;0;0;0;0;0;0;0;0;[GWh]
Mechanical;Mechanical energy fishing;MECHANICAL_ENERGY_FISH_OTHERS;0;0;0;0;0;0;0;73.56416336;[GWh]
Non-energy;Non-energy;NON_ENERGY;0;0;38.18908436;0;0;0;0;0;[GWh]
